Дата,Год,Год-мес,точка,бренд,товар,Количество,Продажи,Себестоимость
2021-11-01,2021,202111,на Гоголя,Galosha,KA gre-2749,54,1420740,567000.0
2021-12-01,2021,202112,на Гоголя,Galosha,KA gre-2749,65,1649505,682500.0
2022-01-01,2022,202201,на Гоголя,Galosha,KA gre-2749,96,2513664,1008000.0
2022-02-01,2022,202202,на Гоголя,Galosha,KA gre-2749,60,1599480,630000.0
2022-03-01,2022,202203,на Гоголя,Galosha,KA gre-2749,48,1233840,504000.0
2022-04-01,2022,202204,на Гоголя,Galosha,KA gre-2749,90,2404440,945000.0
2022-05-01,2022,202205,на Гоголя,Galosha,KA gre-2749,113,3098347,1186500.0
2022-06-01,2022,202206,на Гоголя,Galosha,KA gre-2749,107,2872201,1123500.0
2022-07-01,2022,202207,на Гоголя,Galosha,KA gre-2749,113,2780817,1186500.0
2022-08-01,2022,202208,на Гоголя,Galosha,KA gre-2749,96,2453952,1008000.0
2022-09-01,2022,202209,на Гоголя,Galosha,KA gre-2749,101,2578631,1060500.0
2022-10-01,2022,202210,на Гоголя,Galosha,KA gre-2749,84,2220036,882000.0
2022-11-01,2022,202211,на Гоголя,Galosha,KA gre-2749,60,1579140,630000.0
2022-12-01,2022,202212,на Гоголя,Galosha,KA gre-2749,72,1813104,756000.0
2021-01-01,2021,202101,на Гоголя,Galosha,KA earth-3018,94,1706100,703120.0
2021-02-01,2021,202102,на Гоголя,Galosha,KA earth-3018,59,1066838,441320.0
2021-03-01,2021,202103,на Гоголя,Galosha,KA earth-3018,47,838997,351560.0
2021-04-01,2021,202104,на Гоголя,Galosha,KA earth-3018,88,1681768,658240.0
2021-05-01,2021,202105,на Гоголя,Galosha,KA earth-3018,112,2118592,837760.0
2021-06-01,2021,202106,на Гоголя,Galosha,KA earth-3018,106,1939694,792880.0
2021-07-01,2021,202107,на Гоголя,Galosha,KA earth-3018,112,1885072,837760.0
2021-08-01,2021,202108,на Гоголя,Galosha,KA earth-3018,94,1713526,703120.0
2021-09-01,2021,202109,на Гоголя,Galosha,KA earth-3018,100,1802300,748000.0
2021-10-01,2021,202110,на Гоголя,Galosha,KA earth-3018,82,1523724,613360.0
2021-11-01,2021,202111,на Гоголя,Galosha,KA earth-3018,59,1050495,441320.0
2021-12-01,2021,202112,на Гоголя,Galosha,KA earth-3018,71,1263161,531080.0
2022-01-01,2022,202201,на Гоголя,Galosha,KA earth-3018,103,1896333,770440.0
2022-02-01,2022,202202,на Гоголя,Galosha,KA earth-3018,65,1197105,486200.0
2022-03-01,2022,202203,на Гоголя,Galosha,KA earth-3018,52,931372,388960.0
2022-04-01,2022,202204,на Гоголя,Galosha,KA earth-3018,97,1782957,725560.0
2022-05-01,2022,202205,на Гоголя,Galosha,KA earth-3018,123,2273778,920040.0
2022-06-01,2022,202206,на Гоголя,Galosha,KA earth-3018,116,2199244,867680.0
2022-07-01,2022,202207,на Гоголя,Galosha,KA earth-3018,123,2048934,920040.0
2022-08-01,2022,202208,на Гоголя,Galosha,KA earth-3018,103,1844524,770440.0
2022-09-01,2022,202209,на Гоголя,Galosha,KA earth-3018,110,1930390,822800.0
2022-10-01,2022,202210,на Гоголя,Galosha,KA earth-3018,91,1719172,680680.0
2022-11-01,2022,202211,на Гоголя,Galosha,KA earth-3018,65,1204450,486200.0
2022-12-01,2022,202212,на Гоголя,Galosha,KA earth-3018,78,1371006,583440.0
2021-01-01,2021,202101,на Гоголя,Galosha,KA ais-3700,73,2288331,1226400.0
2021-02-01,2021,202102,на Гоголя,Galosha,KA ais-3700,46,1433728,772800.0
2021-03-01,2021,202103,на Гоголя,Galosha,KA ais-3700,37,1146963,621600.0
2021-04-01,2021,202104,на Гоголя,Galosha,KA ais-3700,69,2162943,1159200.0
2021-05-01,2021,202105,на Гоголя,Galosha,KA ais-3700,87,2832633,1461600.0
2021-06-01,2021,202106,на Гоголя,Galosha,KA ais-3700,82,2544050,1377600.0
2021-07-01,2021,202107,на Гоголя,Galosha,KA ais-3700,87,2613567,1461600.0
2021-08-01,2021,202108,на Гоголя,Galosha,KA ais-3700,73,2269789,1226400.0
2021-09-01,2021,202109,на Гоголя,Galosha,KA ais-3700,78,2402868,1310400.0
2021-10-01,2021,202110,на Гоголя,Galosha,KA ais-3700,64,2039168,1075200.0
2021-11-01,2021,202111,на Гоголя,Galosha,KA ais-3700,46,1433038,772800.0
2021-12-01,2021,202112,на Гоголя,Galosha,KA ais-3700,55,1710665,924000.0
2022-01-01,2022,202201,на Гоголя,Galosha,KA ais-3700,81,2552715,1360800.0
2022-02-01,2022,202202,на Гоголя,Galosha,KA ais-3700,51,1611906,856800.0
2022-03-01,2022,202203,на Гоголя,Galosha,KA ais-3700,41,1253370,688800.0
2022-04-01,2022,202204,на Гоголя,Galosha,KA ais-3700,76,2379028,1276800.0
2022-05-01,2022,202205,на Гоголя,Galosha,KA ais-3700,96,3055872,1612800.0
2022-06-01,2022,202206,на Гоголя,Galosha,KA ais-3700,91,2850393,1528800.0
2022-07-01,2022,202207,на Гоголя,Galosha,KA ais-3700,96,2848416,1612800.0
2022-08-01,2022,202208,на Гоголя,Galosha,KA ais-3700,81,2474469,1360800.0
2022-09-01,2022,202209,на Гоголя,Galosha,KA ais-3700,86,2690768,1444800.0
2022-10-01,2022,202210,на Гоголя,Galosha,KA ais-3700,71,2245446,1192800.0
2022-11-01,2022,202211,на Гоголя,Galosha,KA ais-3700,51,1590384,856800.0
2022-12-01,2022,202212,на Гоголя,Galosha,KA ais-3700,61,1855010,1024800.0
2021-01-01,2021,202101,на Гоголя,Galosha,KA ice-7591,70,1169140,430500.0
2021-02-01,2021,202102,на Гоголя,Galosha,KA ice-7591,44,717816,270600.0
2021-03-01,2021,202103,на Гоголя,Galosha,KA ice-7591,35,532105,215250.0
2021-04-01,2021,202104,на Гоголя,Galosha,KA ice-7591,66,1099956,405900.0
2021-05-01,2021,202105,на Гоголя,Galosha,KA ice-7591,83,1401538,510450.0
2021-06-01,2021,202106,на Гоголя,Galosha,KA ice-7591,79,1310926,485850.0
2021-07-01,2021,202107,на Гоголя,Galosha,KA ice-7591,83,1236534,510450.0
2021-08-01,2021,202108,на Гоголя,Galosha,KA ice-7591,70,1144080,430500.0
2021-09-01,2021,202109,на Гоголя,Galosha,KA ice-7591,74,1131164,455100.0
2021-10-01,2021,202110,на Гоголя,Galosha,KA ice-7591,61,1036695,375150.0
2021-11-01,2021,202111,на Гоголя,Galosha,KA ice-7591,44,704704,270600.0
2021-12-01,2021,202112,на Гоголя,Galosha,KA ice-7591,53,852028,325950.0
2022-01-01,2022,202201,на Гоголя,Galosha,KA ice-7591,77,1278123,473550.0
2022-02-01,2022,202202,на Гоголя,Galosha,KA ice-7591,48,802080,295200.0
2022-03-01,2022,202203,на Гоголя,Galosha,KA ice-7591,39,618423,239850.0
2022-04-01,2022,202204,на Гоголя,Galosha,KA ice-7591,72,1213488,442800.0
2022-05-01,2022,202205,на Гоголя,Galosha,KA ice-7591,91,1517061,559650.0
2022-06-01,2022,202206,на Гоголя,Galosha,KA ice-7591,87,1417752,535050.0
2022-07-01,2022,202207,на Гоголя,Galosha,KA ice-7591,91,1310946,559650.0
2022-08-01,2022,202208,на Гоголя,Galosha,KA ice-7591,77,1230460,473550.0
2022-09-01,2022,202209,на Гоголя,Galosha,KA ice-7591,82,1348408,504300.0
2022-10-01,2022,202210,на Гоголя,Galosha,KA ice-7591,67,1093306,412050.0
2022-11-01,2022,202211,на Гоголя,Galosha,KA ice-7591,48,781728,295200.0
2022-12-01,2022,202212,на Гоголя,Galosha,KA ice-7591,58,914834,356700.0
2021-01-01,2021,202101,на Гоголя,Galosha,KA ai-2818,92,1076216,404800.0
2021-02-01,2021,202102,на Гоголя,Galosha,KA ai-2818,57,731709,250800.0
2021-03-01,2021,202103,на Гоголя,Galosha,KA ai-2818,46,516488,202400.0
2021-04-01,2021,202104,на Гоголя,Galosha,KA ai-2818,86,1086524,378400.0
2021-05-01,2021,202105,на Гоголя,Galosha,KA ai-2818,109,1369149,479600.0
2021-06-01,2021,202106,на Гоголя,Galosha,KA ai-2818,103,1321490,453200.0
2021-07-01,2021,202107,на Гоголя,Galosha,KA ai-2818,109,1161286,479600.0
2021-08-01,2021,202108,на Гоголя,Galosha,KA ai-2818,92,1127644,404800.0
2021-09-01,2021,202109,на Гоголя,Galosha,KA ai-2818,97,1151972,426800.0
2021-10-01,2021,202110,на Гоголя,Galosha,KA ai-2818,80,1016720,352000.0
2021-11-01,2021,202111,на Гоголя,Galosha,KA ai-2818,57,711987,250800.0
2021-12-01,2021,202112,на Гоголя,Galosha,KA ai-2818,69,824343,303600.0
2022-01-01,2022,202201,на Гоголя,Galosha,KA ai-2818,101,1180690,444400.0
2022-02-01,2022,202202,на Гоголя,Galosha,KA ai-2818,63,798903,277200.0
2022-03-01,2022,202203,на Гоголя,Galosha,KA ai-2818,51,588846,224400.0
2022-04-01,2022,202204,на Гоголя,Galosha,KA ai-2818,95,1161755,418000.0
2022-05-01,2022,202205,на Гоголя,Galosha,KA ai-2818,120,1606920,528000.0
2022-06-01,2022,202206,на Гоголя,Galosha,KA ai-2818,113,1363458,497200.0
2022-07-01,2022,202207,на Гоголя,Galosha,KA ai-2818,120,1276800,528000.0
2022-08-01,2022,202208,на Гоголя,Galosha,KA ai-2818,101,1172509,444400.0
2022-09-01,2022,202209,на Гоголя,Galosha,KA ai-2818,107,1283465,470800.0
2022-10-01,2022,202210,на Гоголя,Galosha,KA ai-2818,88,1146992,387200.0
2022-11-01,2022,202211,на Гоголя,Galosha,KA ai-2818,63,792603,277200.0
2022-12-01,2022,202212,на Гоголя,Galosha,KA ai-2818,76,922184,334400.0
2021-01-01,2021,202101,на Гоголя,Babidas,BA air-5353,46,251850,83398.0
2021-02-01,2021,202102,на Гоголя,Babidas,BA air-5353,29,157876,52577.0
2021-03-01,2021,202103,на Гоголя,Babidas,BA air-5353,23,109618,41699.0
2021-04-01,2021,202104,на Гоголя,Babidas,BA air-5353,44,239184,79772.0
2021-05-01,2021,202105,на Гоголя,Babidas,BA air-5353,55,328185,99715.0
2021-06-01,2021,202106,на Гоголя,Babidas,BA air-5353,52,270972,94276.0
2021-07-01,2021,202107,на Гоголя,Babidas,BA air-5353,55,165825,99715.0
2021-08-01,2021,202108,на Гоголя,Babidas,BA air-5353,46,193568,83398.0
2021-09-01,2021,202109,на Гоголя,Babidas,BA air-5353,49,212856,88837.0
2021-10-01,2021,202110,на Гоголя,Babidas,BA air-5353,41,216808,74333.0
2021-11-01,2021,202111,на Гоголя,Babidas,BA air-5353,29,156165,52577.0
2021-12-01,2021,202112,на Гоголя,Babidas,BA air-5353,35,144060,63455.0
2022-01-01,2022,202201,на Гоголя,Babidas,BA air-5353,51,268413,92463.0
2022-02-01,2022,202202,на Гоголя,Babidas,BA air-5353,32,171488,58016.0
2022-03-01,2022,202203,на Гоголя,Babidas,BA air-5353,26,118560,47138.0
2022-04-01,2022,202204,на Гоголя,Babidas,BA air-5353,48,256896,87024.0
2022-05-01,2022,202205,на Гоголя,Babidas,BA air-5353,61,339587,110593.0
2022-06-01,2022,202206,на Гоголя,Babidas,BA air-5353,57,295032,103341.0
2022-07-01,2022,202207,на Гоголя,Babidas,BA air-5353,61,189283,110593.0
2022-08-01,2022,202208,на Гоголя,Babidas,BA air-5353,51,253980,92463.0
2022-09-01,2022,202209,на Гоголя,Babidas,BA air-5353,54,271890,97902.0
2022-10-01,2022,202210,на Гоголя,Babidas,BA air-5353,45,238410,81585.0
2022-11-01,2022,202211,на Гоголя,Babidas,BA air-5353,32,163328,58016.0
2022-12-01,2022,202212,на Гоголя,Babidas,BA air-5353,38,177422,68894.0
2021-01-01,2021,202101,на Гоголя,Babidas,BA grou-9248,36,110916,41400.0
2021-02-01,2021,202102,на Гоголя,Babidas,BA grou-9248,23,81627,26450.0
2021-03-01,2021,202103,на Гоголя,Babidas,BA grou-9248,18,67302,20700.0
2021-04-01,2021,202104,на Гоголя,Babidas,BA grou-9248,34,155618,39100.0
2021-05-01,2021,202105,на Гоголя,Babidas,BA grou-9248,43,177977,49450.0
2021-06-01,2021,202106,на Гоголя,Babidas,BA grou-9248,41,153586,47150.0
2021-07-01,2021,202107,на Гоголя,Babidas,BA grou-9248,43,105436,49450.0
2021-08-01,2021,202108,на Гоголя,Babidas,BA grou-9248,36,98352,41400.0
2021-09-01,2021,202109,на Гоголя,Babidas,BA grou-9248,39,132756,44850.0
2021-10-01,2021,202110,на Гоголя,Babidas,BA grou-9248,32,149920,36800.0
2021-11-01,2021,202111,на Гоголя,Babidas,BA grou-9248,23,78683,26450.0
2021-12-01,2021,202112,на Гоголя,Babidas,BA grou-9248,27,91341,31050.0
2022-01-01,2022,202201,на Гоголя,Babidas,BA grou-9248,40,134600,46000.0
2022-02-01,2022,202202,на Гоголя,Babidas,BA grou-9248,25,83550,28750.0
2022-03-01,2022,202203,на Гоголя,Babidas,BA grou-9248,20,75840,23000.0
2022-04-01,2022,202204,на Гоголя,Babidas,BA grou-9248,38,166098,43700.0
2022-05-01,2022,202205,на Гоголя,Babidas,BA grou-9248,48,213648,55200.0
2022-06-01,2022,202206,на Гоголя,Babidas,BA grou-9248,45,175860,51750.0
2022-07-01,2022,202207,на Гоголя,Babidas,BA grou-9248,48,135456,55200.0
2022-08-01,2022,202208,на Гоголя,Babidas,BA grou-9248,40,141120,46000.0
2022-09-01,2022,202209,на Гоголя,Babidas,BA grou-9248,43,144308,49450.0
2022-10-01,2022,202210,на Гоголя,Babidas,BA grou-9248,35,112945,40250.0
2022-11-01,2022,202211,на Гоголя,Babidas,BA grou-9248,25,100100,28750.0
2022-12-01,2022,202212,на Гоголя,Babidas,BA grou-9248,30,90300,34500.0
2021-01-01,2021,202101,на Гоголя,Babidas,BA gre-3658,47,218879,62698.0
2021-02-01,2021,202102,на Гоголя,Babidas,BA gre-3658,29,123685,38686.0
2021-03-01,2021,202103,на Гоголя,Babidas,BA gre-3658,24,77688,32016.0
2021-04-01,2021,202104,на Гоголя,Babidas,BA gre-3658,44,186384,58696.0
2021-05-01,2021,202105,на Гоголя,Babidas,BA gre-3658,56,264376,74704.0
2021-06-01,2021,202106,на Гоголя,Babidas,BA gre-3658,53,229702,70702.0
2021-07-01,2021,202107,на Гоголя,Babidas,BA gre-3658,56,131320,74704.0
2021-08-01,2021,202108,на Гоголя,Babidas,BA gre-3658,47,152280,62698.0
2021-09-01,2021,202109,на Гоголя,Babidas,BA gre-3658,50,174600,66700.0
2021-10-01,2021,202110,на Гоголя,Babidas,BA gre-3658,41,190281,54694.0
2021-11-01,2021,202111,на Гоголя,Babidas,BA gre-3658,29,112462,38686.0
2021-12-01,2021,202112,на Гоголя,Babidas,BA gre-3658,35,142170,46690.0
2022-01-01,2022,202201,на Гоголя,Babidas,BA gre-3658,52,231504,69368.0
2022-02-01,2022,202202,на Гоголя,Babidas,BA gre-3658,32,136224,42688.0
2022-03-01,2022,202203,на Гоголя,Babidas,BA gre-3658,26,96148,34684.0
2022-04-01,2022,202204,на Гоголя,Babidas,BA gre-3658,48,222192,64032.0
2022-05-01,2022,202205,на Гоголя,Babidas,BA gre-3658,61,305854,81374.0
2022-06-01,2022,202206,на Гоголя,Babidas,BA gre-3658,58,239598,77372.0
2022-07-01,2022,202207,на Гоголя,Babidas,BA gre-3658,61,165310,81374.0
2022-08-01,2022,202208,на Гоголя,Babidas,BA gre-3658,52,173264,69368.0
2022-09-01,2022,202209,на Гоголя,Babidas,BA gre-3658,55,212960,73370.0
2022-10-01,2022,202210,на Гоголя,Babidas,BA gre-3658,45,226845,60030.0
2022-11-01,2022,202211,на Гоголя,Babidas,BA gre-3658,32,135104,42688.0
2022-12-01,2022,202212,на Гоголя,Babidas,BA gre-3658,39,130572,52026.0
2021-01-01,2021,202101,на Гоголя,Babidas,BA earth-3530,39,209469,78624.0
2021-02-01,2021,202102,на Гоголя,Babidas,BA earth-3530,24,129528,48384.0
2021-03-01,2021,202103,на Гоголя,Babidas,BA earth-3530,20,108960,40320.0
2021-04-01,2021,202104,на Гоголя,Babidas,BA earth-3530,36,228564,72576.0
2021-05-01,2021,202105,на Гоголя,Babidas,BA earth-3530,46,295688,92736.0
2021-06-01,2021,202106,на Гоголя,Babidas,BA earth-3530,44,252516,88704.0
2021-07-01,2021,202107,на Гоголя,Babidas,BA earth-3530,46,152812,92736.0
2021-08-01,2021,202108,на Гоголя,Babidas,BA earth-3530,39,203814,78624.0
2021-09-01,2021,202109,на Гоголя,Babidas,BA earth-3530,41,200941,82656.0
2021-10-01,2021,202110,на Гоголя,Babidas,BA earth-3530,34,212364,68544.0
2021-11-01,2021,202111,на Гоголя,Babidas,BA earth-3530,24,131160,48384.0
2021-12-01,2021,202112,на Гоголя,Babidas,BA earth-3530,29,129920,58464.0
2022-01-01,2022,202201,на Гоголя,Babidas,BA earth-3530,43,213151,86688.0
2022-02-01,2022,202202,на Гоголя,Babidas,BA earth-3530,27,163917,54432.0
2022-03-01,2022,202203,на Гоголя,Babidas,BA earth-3530,22,121308,44352.0
2022-04-01,2022,202204,на Гоголя,Babidas,BA earth-3530,40,233240,80640.0
2022-05-01,2022,202205,на Гоголя,Babidas,BA earth-3530,51,321351,102816.0
2022-06-01,2022,202206,на Гоголя,Babidas,BA earth-3530,48,237792,96768.0
2022-07-01,2022,202207,на Гоголя,Babidas,BA earth-3530,51,199104,102816.0
2022-08-01,2022,202208,на Гоголя,Babidas,BA earth-3530,43,190533,86688.0
2022-09-01,2022,202209,на Гоголя,Babidas,BA earth-3530,45,225900,90720.0
2022-10-01,2022,202210,на Гоголя,Babidas,BA earth-3530,37,207533,74592.0
2022-11-01,2022,202211,на Гоголя,Babidas,BA earth-3530,27,144234,54432.0
2022-12-01,2022,202212,на Гоголя,Babidas,BA earth-3530,32,151008,64512.0
2021-01-01,2021,202101,на Гоголя,Babidas,BA ais-1740,35,97125,32725.000000000004
2021-02-01,2021,202102,на Гоголя,Babidas,BA ais-1740,22,60214,20570.000000000004
2021-03-01,2021,202103,на Гоголя,Babidas,BA ais-1740,18,44406,16830.000000000004
2021-04-01,2021,202104,на Гоголя,Babidas,BA ais-1740,33,112464,30855.000000000004
2021-05-01,2021,202105,на Гоголя,Babidas,BA ais-1740,42,159054,39270.00000000001
2021-06-01,2021,202106,на Гоголя,Babidas,BA ais-1740,40,133320,37400.00000000001
2021-07-01,2021,202107,на Гоголя,Babidas,BA ais-1740,42,47922,39270.00000000001
2021-08-01,2021,202108,на Гоголя,Babidas,BA ais-1740,35,76440,32725.000000000004
2021-09-01,2021,202109,на Гоголя,Babidas,BA ais-1740,37,82103,34595.00000000001
2021-10-01,2021,202110,на Гоголя,Babidas,BA ais-1740,31,100719,28985.000000000004
2021-11-01,2021,202111,на Гоголя,Babidas,BA ais-1740,22,70290,20570.000000000004
2021-12-01,2021,202112,на Гоголя,Babidas,BA ais-1740,27,59508,25245.000000000004
2022-01-01,2022,202201,на Гоголя,Babidas,BA ais-1740,39,111228,36465.00000000001
2022-02-01,2022,202202,на Гоголя,Babidas,BA ais-1740,24,74256,22440.000000000004
2022-03-01,2022,202203,на Гоголя,Babidas,BA ais-1740,20,40940,18700.000000000004
2022-04-01,2022,202204,на Гоголя,Babidas,BA ais-1740,36,129708,33660.00000000001
2022-05-01,2022,202205,на Гоголя,Babidas,BA ais-1740,46,165600,43010.00000000001
2022-06-01,2022,202206,на Гоголя,Babidas,BA ais-1740,44,132572,41140.00000000001
2022-07-01,2022,202207,на Гоголя,Babidas,BA ais-1740,46,60306,43010.00000000001
2022-08-01,2022,202208,на Гоголя,Babidas,BA ais-1740,39,90636,36465.00000000001
2022-09-01,2022,202209,на Гоголя,Babidas,BA ais-1740,41,104673,38335.00000000001
2022-10-01,2022,202210,на Гоголя,Babidas,BA ais-1740,34,126174,31790.000000000004
2022-11-01,2022,202211,на Гоголя,Babidas,BA ais-1740,24,75504,22440.000000000004
2022-12-01,2022,202212,на Гоголя,Babidas,BA ais-1740,29,80736,27115.000000000004
2021-01-01,2021,202101,на Гоголя,Babidas,BA ice-4231,43,220332,84968.0
2021-02-01,2021,202102,на Гоголя,Babidas,BA ice-4231,27,139509,53352.0
2021-03-01,2021,202103,на Гоголя,Babidas,BA ice-4231,22,91696,43472.0
2021-04-01,2021,202104,на Гоголя,Babidas,BA ice-4231,41,203155,81016.0
2021-05-01,2021,202105,на Гоголя,Babidas,BA ice-4231,51,325227,100776.0
2021-06-01,2021,202106,на Гоголя,Babidas,BA ice-4231,49,234024,96824.0
2021-07-01,2021,202107,на Гоголя,Babidas,BA ice-4231,51,161415,100776.0
2021-08-01,2021,202108,на Гоголя,Babidas,BA ice-4231,43,171312,84968.0
2021-09-01,2021,202109,на Гоголя,Babidas,BA ice-4231,46,229034,90896.0
2021-10-01,2021,202110,на Гоголя,Babidas,BA ice-4231,38,205580,75088.0
2021-11-01,2021,202111,на Гоголя,Babidas,BA ice-4231,27,123039,53352.0
2021-12-01,2021,202112,на Гоголя,Babidas,BA ice-4231,33,157608,65208.0
2022-01-01,2022,202201,на Гоголя,Babidas,BA ice-4231,48,222336,94848.0
2022-02-01,2022,202202,на Гоголя,Babidas,BA ice-4231,30,147390,59280.0
2022-03-01,2022,202203,на Гоголя,Babidas,BA ice-4231,24,114816,47424.0
2022-04-01,2022,202204,на Гоголя,Babidas,BA ice-4231,45,243495,88920.0
2022-05-01,2022,202205,на Гоголя,Babidas,BA ice-4231,56,308784,110656.0
2022-06-01,2022,202206,на Гоголя,Babidas,BA ice-4231,53,269611,104728.0
2022-07-01,2022,202207,на Гоголя,Babidas,BA ice-4231,56,174048,110656.0
2022-08-01,2022,202208,на Гоголя,Babidas,BA ice-4231,48,218400,94848.0
2022-09-01,2022,202209,на Гоголя,Babidas,BA ice-4231,51,254286,100776.0
2022-10-01,2022,202210,на Гоголя,Babidas,BA ice-4231,42,228774,82992.0
2022-11-01,2022,202211,на Гоголя,Babidas,BA ice-4231,30,156360,59280.0
2022-12-01,2022,202212,на Гоголя,Babidas,BA ice-4231,36,156996,71136.0
2021-01-01,2021,202101,на Гоголя,Babidas,BA ai-2960,39,202800,70200.0
2021-02-01,2021,202102,на Гоголя,Babidas,BA ai-2960,24,138120,43200.0
2021-03-01,2021,202103,на Гоголя,Babidas,BA ai-2960,20,114420,36000.0
2021-04-01,2021,202104,на Гоголя,Babidas,BA ai-2960,36,227016,64800.0
2021-05-01,2021,202105,на Гоголя,Babidas,BA ai-2960,46,305348,82800.0
2021-06-01,2021,202106,на Гоголя,Babidas,BA ai-2960,44,255024,79200.0
2021-07-01,2021,202107,на Гоголя,Babidas,BA ai-2960,46,204102,82800.0
